map_id,requested_k,effective_k,raw_unique_beliefs,raw_occurrences,sw2_mean,sw2_p95,sw2_max,mse_abs_mean,mse_rel_mean,urc_level_disagreement,transition_mismatch_rate,transition_mismatches,transition_occurrences,ambiguous_transition_keys,transition_key_count
10,50,50,455,636,0.06964548258851384,0.17099852752011807,0.21616680030998534,0.02932671367612127,0.09382233285482786,0.41352201257861637,0.13957597173144876,79,566,65,402
10,75,75,455,636,0.05482283512786505,0.15262254148258203,0.1909294585465903,0.02338536090915024,0.07197967978471861,0.330188679245283,0.11307420494699646,64,566,51,451
10,100,100,455,636,0.04548400608749645,0.13242908154631797,0.16344476375744577,0.01968801583076915,0.06130853963633177,0.29245283018867924,0.07420494699646643,42,566,38,480
10,125,125,455,636,0.03757993121204324,0.1301309960075807,0.1808159307260009,0.016962675394048013,0.04940109451190505,0.26257861635220126,0.07420494699646643,42,566,40,496
10,150,150,455,636,0.030167750980003707,0.11885922459167851,0.15889691001755119,0.012008825331006208,0.04100376131265835,0.19025157232704404,0.04063604240282685,23,566,23,524
10,175,175,455,636,0.02380063183407552,0.11366059432383092,0.1354401248293974,0.009924150710649102,0.03007004729601973,0.15723270440251572,0.04063604240282685,23,566,21,526
10,200,200,455,636,0.019455393956364177,0.10725580637994207,0.13933382276457157,0.008130809806512311,0.02767382786931965,0.12578616352201258,0.04063604240282685,23,566,21,534
11,50,50,352,467,0.0737706724164506,0.15960709523415553,0.21753425716696517,0.032042228608589046,0.10520752315490006,0.40471092077087795,0.14558472553699284,61,419,51,293
11,75,75,352,467,0.05659818563408953,0.14642966878226993,0.21067726030083941,0.0236806960053563,0.06791486103939455,0.3297644539614561,0.11217183770883055,47,419,44,328
11,100,100,352,467,0.04312176318557406,0.12772594262868855,0.16641635824686518,0.01793130097640123,0.05359891368733142,0.2762312633832976,0.07398568019093078,31,419,29,357
11,125,125,352,467,0.034880499430000274,0.12562547859578355,0.16580945271595418,0.015829609269827044,0.048669878972586816,0.23126338329764454,0.06205250596658711,26,419,26,375
11,150,150,352,467,0.028575443957073503,0.1175213579170612,0.1482466262355072,0.011950395706162426,0.037722724348382655,0.17130620985010706,0.05250596658711217,22,419,21,385
11,175,175,352,467,0.021394202280510373,0.10273462077625531,0.14148190773304412,0.009402020628625152,0.026624842737432493,0.14132762312633834,0.031026252983293555,13,419,13,395
11,200,200,352,467,0.016066320497039054,0.09665565785568711,0.12817588592808427,0.007013376775995788,0.022260983666736647,0.11134903640256959,0.03341288782816229,14,419,14,403
12,50,50,540,733,0.08362854777653635,0.1784085065537012,0.235766573910682,0.03838585449778172,0.11539990600073204,0.47066848567530695,0.16109422492401215,106,658,83,426
12,75,75,540,733,0.06504967841221641,0.1595345808755197,0.22030479764857858,0.030587995361873874,0.08587289795454682,0.39290586630286495,0.12462006079027356,82,658,72,499
12,100,100,540,733,0.051740887507018364,0.1490767736914082,0.20296693707169772,0.023937511865054658,0.06552317626076751,0.3328785811732606,0.09270516717325228,61,658,58,544
12,125,125,540,733,0.043238889663376225,0.1412304164714955,0.18208717114999404,0.018096745564195216,0.05520083437835869,0.24420190995907232,0.06382978723404255,42,658,39,580
12,150,150,540,733,0.037207123470329895,0.13197701566305065,0.18583448310796338,0.01718959683446274,0.04894433365281081,0.24965893587994542,0.0547112462006079,36,658,35,583
12,175,175,540,733,0.03174339725589473,0.1259597554111741,0.15244909093260298,0.0142652429291169,0.04196773377268838,0.21691678035470668,0.0486322188449848,32,658,29,593
12,200,200,540,733,0.02629683126687031,0.11586572618074782,0.1559807839122468,0.011582451207935357,0.03646863172189804,0.1664392905866303,0.031914893617021274,21,658,20,613
13,50,50,486,675,0.0786043257390692,0.17369281813951368,0.2331075663304497,0.035088438584825826,0.10070529151901023,0.4725925925925926,0.14427860696517414,87,603,73,430
13,75,75,486,675,0.06419638446874966,0.14993115798065385,0.18458876493308118,0.02884509204987256,0.08328467890269353,0.38222222222222224,0.12935323383084577,78,603,66,461
13,100,100,486,675,0.05142662098421598,0.14130182461992444,0.16970386340837512,0.022389086235209982,0.06180774996475731,0.3422222222222222,0.08291873963515754,50,603,45,511
13,125,125,486,675,0.04204600126717702,0.1354365314590286,0.15976256935119376,0.018292913023222647,0.055166249760945384,0.3244444444444444,0.05970149253731343,36,603,32,540
13,150,150,486,675,0.034925471145580304,0.12712657119249485,0.17034761231685228,0.015137695309804449,0.0447599235842891,0.24592592592592594,0.06301824212271974,38,603,36,542
13,175,175,486,675,0.028591775903648257,0.11944888189943816,0.14962007990814127,0.012167888820751106,0.03624116035174978,0.2,0.03980099502487562,24,603,23,567
13,200,200,486,675,0.024543730033984315,0.11836523347399353,0.1597625693511936,0.010656682492946807,0.03131866215298117,0.18222222222222223,0.03814262023217247,23,603,23,566
14,50,50,512,706,0.08221056599106383,0.17408276513423537,0.210704983364795,0.034939410084880225,0.10214991809910133,0.4546742209631728,0.13924050632911392,88,632,70,422
14,75,75,512,706,0.06912498787447621,0.15874928868037827,0.20728445423756553,0.031425665764346696,0.09275287601208138,0.44192634560906513,0.13924050632911392,88,632,70,465
14,100,100,512,706,0.05786764204244262,0.14554861078651618,0.1835777607162859,0.02497904341594175,0.07553387297497655,0.3838526912181303,0.11867088607594936,75,632,65,504
14,125,125,512,706,0.04826347609307765,0.13789815557962232,0.1770456235252765,0.020835856036343352,0.06362635639706445,0.3286118980169972,0.08227848101265822,52,632,48,535
14,150,150,512,706,0.042807986505478623,0.12681710388599454,0.1668909440715923,0.0190205461504051,0.05836301433354397,0.29745042492917845,0.06487341772151899,41,632,38,547
