age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,76,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,76,16,2,0.07368421052631581,0.010110196164367657,0.04,0.08,0.04,0.4078947368421053
2,75,39,2,0.14833733333333335,0.0161931818848414,0.0886,0.16319999999999998,0.07459999999999999,0.43999999999999995
3,73,56,2,0.22502457534246575,0.02081602473656689,0.16753600000000002,0.249595,0.08205899999999999,0.4657534246575342
4,71,70,2,0.30189496408450694,0.025760713069904715,0.25012977999999997,0.33918025000000007,0.0890504700000001,0.49295774647887325
5,68,68,2,0.3802665357485294,0.030700363432538486,0.31301249679999993,0.41919971060000005,0.10618721380000012,0.5
6,67,67,3,0.458173047962597,0.03526430978800065,0.379060707868,0.510608011879,0.13154730401099995,0.4925373134328358
7,65,65,3,0.5366489790660822,0.03834320175033343,0.4483720180616701,0.59517495286776,0.1468029348060899,0.49230769230769234
8,64,64,4,0.6118336598144385,0.043874845482616935,0.4963471823263899,0.6903339514206546,0.19398676909426465,0.53125
9,61,61,4,0.6873949419616023,0.04335224157060232,0.5785442505689791,0.7696393493579918,0.19109509878901276,0.540983606557377
10,58,58,3,0.7587971653160451,0.04621683460980279,0.6336584339489298,0.8400949849407074,0.2064365509917776,0.5
