k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.0935161853391624,1.9999999998566067,0.9927801992556213,1.999992,0
20,0.8558509692311697,1.9999999988,0.7616902944295055,1.999992,0
30,0.6931887628393621,1.999999999,0.6140489501098423,1.999992,0
50,0.41519079144746907,1.9992585708000001,0.37282234852639573,1.9621679999999997,0
75,0.11172467720021387,0.34840077548054843,0.11636229184411694,0.34840077548054843,0
100,0.06944344555120915,0.2498063722183923,0.0729974716493771,0.2498063722183923,0
150,0.04258197225366638,0.115170107958,0.04457606872604329,0.115170107958,0
200,0.032711983981682555,0.09455122700000006,0.03480592123448841,0.09455122700000006,0
300,0.02130055333268023,0.05724199999999996,0.02447206429167085,0.05724199999999996,0
400,0.011554062414310296,0.051147842192814194,0.013274385590686479,0.051147842192814194,1
500,0.004109455779347977,0.05066260568053024,0.004721326458767998,0.05066260568053024,0
571,0.0,0.0,0.0,0.0,0
