k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.347751587379375,1.99999608,1.30117552855963,1.9999724200000002,0
20,0.8705810652391179,1.99999608,0.7986712845958754,1.9999724200000002,0
30,0.5360785840544665,1.9999843200000003,0.45607732590388805,1.999888136132,0
50,0.25909385657800327,1.9996197600000003,0.21557644210384527,1.96,0
75,0.10235781882580067,0.3331706973319999,0.10217529490643164,0.29149388818996624,0
100,0.07157831711104543,0.27807614833551303,0.07288309657041928,0.27807614833551303,0
150,0.047254570621109784,0.1398862008019751,0.04790255631469059,0.1398862008019751,0
200,0.036461271839806145,0.13034894375074654,0.03819774552906401,0.13034894375074654,0
300,0.02400185682028387,0.058200000000000016,0.026963411897556466,0.058200000000000016,0
400,0.01467607233960043,0.053256231863999956,0.016486932094210427,0.053256231863999956,1
500,0.006864126515104552,0.03999999999999999,0.0077110813521432345,0.03999999999999999,0
610,0.0,0.0,0.0,0.0,0
