scope,c,count,fraction,percent
nominal_path,1,53,0.029444444444444443,2.9444444444444446
nominal_path,2,162,0.09,9.0
nominal_path,3,84,0.04666666666666667,4.666666666666667
nominal_path,4,84,0.04666666666666667,4.666666666666667
nominal_path,5,132,0.07333333333333333,7.333333333333333
nominal_path,6,183,0.10166666666666667,10.166666666666666
nominal_path,7,387,0.215,21.5
nominal_path,8,258,0.14333333333333334,14.333333333333334
nominal_path,9,223,0.1238888888888889,12.38888888888889
nominal_path,10,234,0.13,13.0
