scope,c,count,fraction,percent
mape_positions,1,668,0.09027027027027026,9.027027027027026
mape_positions,2,552,0.0745945945945946,7.45945945945946
mape_positions,3,520,0.07027027027027027,7.027027027027027
mape_positions,4,672,0.09081081081081081,9.08108108108108
mape_positions,5,865,0.11689189189189189,11.68918918918919
mape_positions,6,848,0.11459459459459459,11.45945945945946
mape_positions,7,827,0.11175675675675675,11.175675675675675
mape_positions,8,932,0.12594594594594594,12.594594594594595
mape_positions,9,802,0.10837837837837838,10.837837837837839
mape_positions,10,714,0.09648648648648649,9.64864864864865
