policy_index,scope,num_decisions,c_1_count,c_2_count,c_3_count,c_4_count,c_5_count,c_6_count,c_7_count,c_8_count,c_9_count,c_10_count,c_7_10_count,c_7_10_fraction,mean_c,objective_1,objective_2
48,nominal_path,18,0,2,1,0,1,2,6,2,3,1,12,0.6666666666666666,6.611111111111111,0.76,31.642
49,nominal_path,18,0,3,2,1,0,0,4,2,4,2,12,0.6666666666666666,6.444444444444445,0.784,33.959
50,nominal_path,18,0,2,3,1,0,1,4,2,3,2,11,0.6111111111111112,6.333333333333333,0.783,33.416
51,nominal_path,18,0,1,0,1,2,2,3,2,3,4,12,0.6666666666666666,7.333333333333333,0.672,26.709
52,nominal_path,18,0,1,1,0,1,3,6,2,3,1,12,0.6666666666666666,6.833333333333333,0.707,27.371
53,nominal_path,18,0,0,0,0,3,1,5,4,0,5,14,0.7777777777777778,7.666666666666667,0.705,27.169
54,nominal_path,18,1,1,0,2,1,3,5,1,2,2,10,0.5555555555555556,6.388888888888889,0.817,38.022
55,nominal_path,18,2,4,2,0,1,3,2,2,2,0,6,0.3333333333333333,4.833333333333333,0.862,54.097
56,nominal_path,18,0,2,0,0,1,2,6,5,1,1,13,0.7222222222222222,6.777777777777778,0.763,32.133
57,nominal_path,18,0,1,1,1,1,2,4,3,2,3,12,0.6666666666666666,7.0,0.762,31.819
58,nominal_path,18,0,0,0,2,3,1,4,2,1,5,12,0.6666666666666666,7.333333333333333,0.72,28.124
59,nominal_path,18,2,0,0,0,0,2,5,4,2,3,14,0.7777777777777778,7.166666666666667,0.819,38.701
60,nominal_path,18,0,3,1,1,0,2,3,5,2,1,11,0.6111111111111112,6.333333333333333,0.8,37.53
61,nominal_path,18,0,1,1,0,1,2,6,2,3,2,13,0.7222222222222222,7.055555555555555,0.744,31.115
62,nominal_path,18,0,1,2,1,3,1,4,2,3,1,10,0.5555555555555556,6.333333333333333,0.781,33.32
63,nominal_path,18,1,4,3,0,0,2,3,3,1,1,8,0.4444444444444444,5.222222222222222,0.841,48.255
64,nominal_path,18,1,0,0,2,1,2,4,3,3,2,12,0.6666666666666666,6.944444444444445,0.727,28.647
65,nominal_path,18,0,2,1,1,0,2,4,5,1,2,12,0.6666666666666666,6.666666666666667,0.799,37.32
66,nominal_path,18,0,2,2,3,0,0,3,3,3,2,11,0.6111111111111112,6.333333333333333,0.798,36.904
67,nominal_path,18,0,1,2,1,3,1,4,2,3,1,10,0.5555555555555556,6.333333333333333,0.781,33.32
68,nominal_path,18,0,2,0,2,1,1,5,2,3,2,12,0.6666666666666666,6.722222222222222,0.777,32.911
69,nominal_path,18,0,1,0,1,4,0,3,1,2,6,12,0.6666666666666666,7.388888888888889,0.776,32.69
70,nominal_path,18,0,1,0,0,3,2,2,4,2,4,12,0.6666666666666666,7.388888888888889,0.748,31.34
71,nominal_path,18,0,2,0,0,0,1,4,3,4,4,15,0.8333333333333334,7.666666666666667,0.697,26.794
72,nominal_path,18,0,1,0,1,3,0,3,1,3,6,13,0.7222222222222222,7.611111111111111,0.716,27.784
73,nominal_path,18,0,1,2,1,0,1,4,3,4,2,13,0.7222222222222222,7.0,0.704,27.131
74,nominal_path,18,0,0,0,1,4,1,3,1,2,6,12,0.6666666666666666,7.611111111111111,0.719,28.104
75,nominal_path,18,0,1,1,2,4,0,3,1,1,5,10,0.5555555555555556,6.722222222222222,0.716,27.784
76,nominal_path,18,0,1,0,1,3,1,5,1,1,5,12,0.6666666666666666,7.166666666666667,0.72,28.124
77,nominal_path,18,0,2,2,1,0,2,5,2,2,2,11,0.6111111111111112,6.388888888888889,0.786,34.703
78,nominal_path,18,1,0,1,2,2,3,4,1,3,1,9,0.5,6.277777777777778,0.816,37.853
79,nominal_path,18,1,2,0,1,2,3,4,2,2,1,9,0.5,6.055555555555555,0.787,34.87
80,nominal_path,18,1,5,3,0,0,3,1,3,1,1,6,0.3333333333333333,4.888888888888889,0.859,53.205
81,nominal_path,18,0,1,1,2,3,0,3,1,1,6,11,0.6111111111111112,7.0,0.719,28.104
82,nominal_path,18,0,3,1,0,0,3,5,4,1,1,11,0.6111111111111112,6.277777777777778,0.833,42.511
83,nominal_path,18,1,4,2,1,1,2,2,3,1,1,7,0.3888888888888889,5.166666666666667,0.84,48.237
84,nominal_path,18,1,0,0,1,1,2,4,3,2,4,13,0.7222222222222222,7.333333333333333,0.701,26.866
85,nominal_path,18,1,0,0,1,1,2,5,3,4,1,13,0.7222222222222222,7.055555555555555,0.7,26.855
86,nominal_path,18,0,0,0,1,4,2,3,4,1,3,11,0.6111111111111112,7.111111111111111,0.772,32.369
87,nominal_path,18,0,2,1,0,0,1,5,4,2,3,14,0.7777777777777778,7.111111111111111,0.739,30.969
88,nominal_path,18,0,1,1,2,0,2,4,3,3,2,12,0.6666666666666666,6.888888888888889,0.704,27.131
89,nominal_path,18,1,0,0,1,1,2,4,3,2,4,13,0.7222222222222222,7.333333333333333,0.701,26.866
90,nominal_path,18,0,1,0,0,3,3,2,4,1,4,11,0.6111111111111112,7.222222222222222,0.71,27.626
91,nominal_path,18,0,2,2,3,0,0,3,4,2,2,11,0.6111111111111112,6.277777777777778,0.798,36.904
92,nominal_path,18,0,2,2,1,0,2,5,2,2,2,11,0.6111111111111112,6.388888888888889,0.782,33.328
93,nominal_path,18,0,2,0,0,1,3,4,3,3,2,12,0.6666666666666666,7.0,0.764,32.141
94,nominal_path,18,1,3,1,1,1,3,4,2,1,1,8,0.4444444444444444,5.555555555555555,0.787,34.87
95,nominal_path,18,0,1,0,0,2,2,5,2,4,2,13,0.7222222222222222,7.277777777777778,0.759,31.56
96,nominal_path,18,0,0,0,0,2,3,6,3,2,2,13,0.7222222222222222,7.333333333333333,0.708,27.412
97,nominal_path,18,0,1,1,0,0,3,5,4,2,2,13,0.7222222222222222,7.111111111111111,0.799,37.32
98,nominal_path,18,0,0,1,1,1,2,5,3,3,2,13,0.7222222222222222,7.222222222222222,0.727,28.647
99,nominal_path,18,0,2,1,0,0,1,4,3,3,4,14,0.7777777777777778,7.333333333333333,0.697,26.794
