model,threshold,total_starts,actual_update_min,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,actual_update_max,actual_update_stddev,interval_trigger_count,fallback_count,interval_trigger_fraction,fallback_fraction
11,17,48,4,4.0,5.0,5.791666666666667,6.0,10,2.0305821551685344,40,8,0.8333333333333334,0.16666666666666666
11,18,48,4,5.0,6.0,6.458333333333333,7.0,10,1.9680609464365906,38,10,0.7916666666666666,0.20833333333333334
11,19,48,10,10.0,10.0,10.0,10.0,10,0.0,0,48,0.0,1.0
12,1,75,1,1.0,1.0,1.0,1.0,1,0.0,75,0,1.0,0.0
12,2,75,1,1.0,1.0,1.0,1.0,1,0.0,75,0,1.0,0.0
12,3,75,1,1.0,1.0,1.0,1.0,1,0.0,75,0,1.0,0.0
12,4,75,1,1.0,1.0,1.1333333333333333,1.0,10,1.0370899457402698,74,1,0.9866666666666667,0.013333333333333334
12,5,75,1,1.0,1.0,1.24,1.0,10,1.068831137270991,74,1,0.9866666666666667,0.013333333333333334
12,6,75,1,1.0,2.0,1.6266666666666667,2.0,10,1.0926827332558868,74,1,0.9866666666666667,0.013333333333333334
12,7,75,2,2.0,2.0,2.2266666666666666,2.0,10,1.2917516101101723,73,2,0.9733333333333334,0.02666666666666667
12,8,75,2,2.0,2.0,2.2666666666666666,2.0,10,1.2995725793078619,73,2,0.9733333333333334,0.02666666666666667
12,9,75,2,2.0,2.0,2.36,2.0,10,1.3129102533430583,73,2,0.9733333333333334,0.02666666666666667
12,10,75,2,2.0,2.0,2.68,3.0,10,1.5761556606714537,72,3,0.96,0.04
12,11,75,2,2.0,3.0,3.026666666666667,3.0,10,1.5229211696239857,72,3,0.96,0.04
12,12,75,2,3.0,3.0,3.3066666666666666,3.0,10,1.4603500341432607,72,3,0.96,0.04
12,13,75,3,3.0,3.0,3.6933333333333334,4.0,10,1.5745757806116822,71,4,0.9466666666666667,0.05333333333333334
12,14,75,3,3.0,4.0,4.04,4.0,10,1.5700530776590538,71,4,0.9466666666666667,0.05333333333333334
12,15,75,3,4.0,4.0,4.426666666666667,5.0,10,1.5420621114454358,71,4,0.9466666666666667,0.05333333333333334
12,16,75,3,4.0,5.0,5.133333333333334,5.0,10,1.7838784213679537,68,7,0.9066666666666666,0.09333333333333334
12,17,75,4,5.0,5.0,5.8133333333333335,6.0,10,1.7335384494021342,67,8,0.8933333333333333,0.10666666666666667
12,18,75,4,5.0,6.0,6.533333333333333,7.0,10,1.776388345929897,64,11,0.8533333333333334,0.14666666666666667
12,19,75,10,10.0,10.0,10.0,10.0,10,0.0,0,75,0.0,1.0
13,1,72,1,1.0,1.0,1.0,1.0,1,0.0,72,0,1.0,0.0
13,2,72,1,1.0,1.0,1.0,1.0,1,0.0,72,0,1.0,0.0
13,3,72,1,1.0,1.0,1.0,1.0,1,0.0,72,0,1.0,0.0
13,4,72,1,1.0,1.0,1.1388888888888888,1.0,10,1.0581109419300505,71,1,0.9861111111111112,0.013888888888888888
13,5,72,1,1.0,1.0,1.2638888888888888,1.0,10,1.092818165666126,71,1,0.9861111111111112,0.013888888888888888
13,6,72,1,1.0,1.5,1.6111111111111112,2.0,10,1.1124991330278216,71,1,0.9861111111111112,0.013888888888888888
13,7,72,2,2.0,2.0,2.3333333333333335,2.0,10,1.5986105077709065,69,3,0.9583333333333334,0.041666666666666664
13,8,72,2,2.0,2.0,2.388888888888889,2.0,10,1.603429965517979,69,3,0.9583333333333334,0.041666666666666664
13,9,72,2,2.0,2.0,2.5,2.0,10,1.6072751268321592,69,3,0.9583333333333334,0.041666666666666664
13,10,72,2,2.0,2.0,2.9444444444444446,3.0,10,1.9852853761339597,67,5,0.9305555555555556,0.06944444444444445
