model,group,actual_update_median,actual_update_q3,mean_fallback_fraction,minimum_fallback_fraction,maximum_fallback_fraction,fallback_tolerance,thresholds,minimum_threshold,maximum_threshold
24,9,3.0,4.0,0.12658227848101267,0.12658227848101267,0.12658227848101267,0.02,13,13,13
24,10,4.0,4.0,0.12658227848101267,0.12658227848101267,0.12658227848101267,0.02,14,14,14
24,11,4.0,5.0,0.12658227848101267,0.12658227848101267,0.12658227848101267,0.02,15,15,15
24,12,5.0,5.0,0.1518987341772152,0.1518987341772152,0.1518987341772152,0.02,16,16,16
24,13,5.0,6.0,0.1518987341772152,0.1518987341772152,0.1518987341772152,0.02,17,17,17
24,14,6.0,7.0,0.17721518987341772,0.17721518987341772,0.17721518987341772,0.02,18,18,18
24,15,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
25,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
25,2,1.0,1.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.02,"4,5",4,5
25,3,1.0,2.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.02,6,6,6
25,4,2.0,2.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.02,"7,8,9",7,9
25,5,2.0,3.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.02,10,10,10
25,6,3.0,3.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.02,"11,12",11,12
25,7,3.0,4.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02,"13,14",13,14
25,8,4.0,5.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02,15,15,15
25,9,4.0,5.0,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.02,16,16,16
25,10,5.0,6.0,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.02,17,17,17
25,11,5.0,7.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.02,18,18,18
25,12,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
26,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
26,2,1.0,1.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.02,"4,5",4,5
26,3,1.0,2.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.02,6,6,6
26,4,2.0,2.0,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.02,"7,8,9",7,9
26,5,2.0,3.0,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.02,10,10,10
26,6,3.0,3.0,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.02,"11,12",11,12
26,7,3.0,4.0,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.02,13,13,13
26,8,4.0,4.0,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.02,14,14,14
26,9,4.0,5.0,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.02,15,15,15
26,10,5.0,5.0,0.14754098360655737,0.14754098360655737,0.14754098360655737,0.02,16,16,16
26,11,5.0,6.0,0.14754098360655737,0.14754098360655737,0.14754098360655737,0.02,17,17,17
26,12,6.0,7.0,0.18032786885245902,0.18032786885245902,0.18032786885245902,0.02,18,18,18
26,13,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
27,1,1.0,1.0,0.005128205128205128,0.0,0.01282051282051282,0.02,"1,2,3,4,5",1,5
27,2,2.0,2.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.02,6,6,6
27,3,2.0,2.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.02,"7,8",7,8
27,4,2.0,3.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.02,9,9,9
27,5,2.5,3.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.02,10,10,10
27,6,3.0,3.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.02,11,11,11
27,7,3.0,3.75,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.02,12,12,12
27,8,3.0,4.0,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.02,13,13,13
27,9,4.0,5.0,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.02,"14,15",14,15
27,10,5.0,5.75,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.02,16,16,16
27,11,5.0,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.02,17,17,17
27,12,6.0,7.0,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.02,18,18,18
27,13,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
28,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
28,2,1.0,1.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.02,"4,5",4,5
28,3,1.0,2.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.02,6,6,6
28,4,2.0,2.0,0.0588235294117647,0.058823529411764705,0.058823529411764705,0.02,"7,8,9",7,9
28,5,2.0,3.0,0.07352941176470588,0.07352941176470588,0.07352941176470588,0.02,10,10,10
28,6,3.0,3.0,0.07352941176470588,0.07352941176470588,0.07352941176470588,0.02,"11,12",11,12
28,7,3.0,4.0,0.10294117647058823,0.10294117647058823,0.10294117647058823,0.02,"13,14",13,14
28,8,4.0,5.0,0.10294117647058823,0.10294117647058823,0.10294117647058823,0.02,15,15,15
28,9,4.0,5.0,0.1323529411764706,0.1323529411764706,0.1323529411764706,0.02,16,16,16
28,10,5.0,6.0,0.1323529411764706,0.1323529411764706,0.1323529411764706,0.02,17,17,17
28,11,5.0,6.0,0.16176470588235295,0.16176470588235295,0.16176470588235295,0.02,18,18,18
28,12,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
29,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
29,2,1.0,1.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.02,4,4,4
29,3,1.0,2.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.02,5,5,5
29,4,2.0,2.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.02,6,6,6
29,5,2.0,2.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.02,"7,8",7,8
29,6,2.0,3.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.02,9,9,9
29,7,3.0,3.0,0.10606060606060606,0.10606060606060606,0.10606060606060606,0.02,"10,11",10,11
29,8,3.0,4.0,0.10606060606060606,0.10606060606060606,0.10606060606060606,0.02,12,12,12
29,9,4.0,4.0,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.02,13,13,13
29,10,4.0,5.0,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.02,14,14,14
29,11,5.0,5.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.02,15,15,15
29,12,5.0,6.75,0.21212121212121213,0.21212121212121213,0.21212121212121213,0.02,16,16,16
29,13,6.0,7.75,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.02,17,17,17
29,14,6.0,10.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.02,18,18,18
29,15,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
30,1,1.0,1.0,0.006153846153846154,0.0,0.015384615384615385,0.02,"1,2,3,4,5",1,5
30,2,2.0,2.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.02,6,6,6
30,3,2.0,2.0,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.02,"7,8",7,8
30,4,2.0,3.0,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.02,9,9,9
30,5,3.0,3.0,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.02,"10,11",10,11
30,6,3.0,4.0,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.02,12,12,12
30,7,3.0,4.0,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.02,13,13,13
30,8,4.0,5.0,0.14615384615384616,0.13846153846153847,0.15384615384615385,0.02,"14,15",14,15
30,9,5.0,6.0,0.18461538461538463,0.18461538461538463,0.18461538461538463,0.02,16,16,16
30,10,6.0,7.0,0.2,0.2,0.2,0.02,17,17,17
30,11,7.0,8.0,0.2153846153846154,0.2153846153846154,0.2153846153846154,0.02,18,18,18
30,12,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
31,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
31,2,1.0,1.0,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.02,"4,5",4,5
31,3,1.0,2.0,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.02,6,6,6
31,4,2.0,2.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.02,"7,8,9",7,9
31,5,2.0,3.0,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.02,10,10,10
31,6,3.0,3.0,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.02,"11,12",11,12
31,7,3.0,4.0,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.02,"13,14",13,14
31,8,4.0,5.0,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.02,15,15,15
31,9,4.0,5.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.02,16,16,16
31,10,5.0,6.0,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.02,17,17,17
31,11,6.0,7.0,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.02,18,18,18
31,12,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
32,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
32,2,1.0,1.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02,"4,5",4,5
32,3,2.0,2.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02,6,6,6
32,4,2.0,2.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.02,"7,8",7,8
32,5,2.0,2.25,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.02,9,9,9
32,6,2.0,3.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.02,10,10,10
32,7,3.0,3.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.02,"11,12",11,12
32,8,3.0,4.0,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.02,13,13,13
32,9,4.0,4.0,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.02,14,14,14
32,10,4.0,5.0,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.02,15,15,15
32,11,5.0,6.0,0.17105263157894737,0.17105263157894737,0.17105263157894737,0.02,16,16,16
32,12,6.0,7.0,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.02,17,17,17
32,13,6.0,8.0,0.2236842105263158,0.2236842105263158,0.2236842105263158,0.02,18,18,18
32,14,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
33,1,1.0,1.0,0.005,0.0,0.0125,0.02,"1,2,3,4,5",1,5
33,2,2.0,2.0,0.020833333333333332,0.0125,0.025,0.02,"6,7,8",6,8
33,3,2.0,3.0,0.03125,0.025,0.0375,0.02,"9,10",9,10
33,4,3.0,3.0,0.0375,0.0375,0.0375,0.02,"11,12",11,12
33,5,3.0,4.0,0.0625,0.0625,0.0625,0.02,13,13,13
33,6,4.0,4.0,0.0625,0.0625,0.0625,0.02,14,14,14
33,7,4.0,5.0,0.0625,0.0625,0.0625,0.02,15,15,15
33,8,4.5,5.0,0.1,0.1,0.1,0.02,16,16,16
33,9,5.0,6.0,0.10625000000000001,0.1,0.1125,0.02,"17,18",17,18
33,10,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
34,1,1.0,1.0,0.005714285714285714,0.0,0.014285714285714285,0.02,"1,2,3,4,5",1,5
34,2,1.0,2.0,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.02,6,6,6
34,3,2.0,2.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02,"7,8,9",7,9
34,4,2.0,3.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02,10,10,10
34,5,3.0,3.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02,"11,12",11,12
34,6,3.0,4.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.02,13,13,13
34,7,4.0,4.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.02,14,14,14
34,8,4.0,5.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.02,15,15,15
34,9,4.5,5.0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.02,16,16,16
34,10,5.0,6.0,0.12857142857142856,0.12857142857142856,0.12857142857142856,0.02,17,17,17
34,11,6.0,7.0,0.15714285714285714,0.15714285714285714,0.15714285714285714,0.02,18,18,18
34,12,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
35,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
35,2,1.0,1.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02,4,4,4
35,3,1.0,2.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02,5,5,5
35,4,2.0,2.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02,6,6,6
35,5,2.0,2.0,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.02,"7,8",7,8
35,6,2.0,3.0,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.02,9,9,9
35,7,3.0,3.0,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.02,"10,11",10,11
35,8,3.0,4.0,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.02,12,12,12
35,9,4.0,4.0,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.02,13,13,13
35,10,4.0,5.0,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.02,14,14,14
35,11,5.0,6.0,0.16216216216216217,0.16216216216216217,0.16216216216216217,0.02,15,15,15
35,12,5.5,7.0,0.21621621621621623,0.21621621621621623,0.21621621621621623,0.02,16,16,16
35,13,6.0,8.0,0.21621621621621623,0.21621621621621623,0.21621621621621623,0.02,17,17,17
35,14,7.0,9.0,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.02,18,18,18
35,15,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
36,1,1.0,1.0,0.005714285714285714,0.0,0.014285714285714285,0.02,"1,2,3,4,5",1,5
36,2,2.0,2.0,0.024999999999999998,0.014285714285714285,0.02857142857142857,0.02,"6,7,8,9",6,9
36,3,2.0,3.0,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.02,10,10,10
36,4,3.0,3.0,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.02,"11,12",11,12
36,5,3.0,4.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.02,13,13,13
36,6,4.0,4.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.02,14,14,14
36,7,4.0,5.0,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.02,15,15,15
36,8,5.0,5.0,0.12857142857142856,0.12857142857142856,0.12857142857142856,0.02,16,16,16
36,9,5.0,6.0,0.12857142857142856,0.12857142857142856,0.12857142857142856,0.02,17,17,17
36,10,6.0,7.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.02,18,18,18
36,11,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
37,1,1.0,1.0,0.005970149253731343,0.0,0.014925373134328358,0.02,"1,2,3,4,5",1,5
37,2,1.0,2.0,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.02,6,6,6
37,3,2.0,2.0,0.04477611940298507,0.04477611940298507,0.04477611940298507,0.02,"7,8",7,8
37,4,2.0,2.5,0.04477611940298507,0.04477611940298507,0.04477611940298507,0.02,9,9,9
37,5,2.0,3.0,0.07462686567164178,0.07462686567164178,0.07462686567164178,0.02,10,10,10
37,6,3.0,3.0,0.07462686567164178,0.07462686567164178,0.07462686567164178,0.02,"11,12",11,12
37,7,3.0,4.0,0.11940298507462686,0.11940298507462686,0.11940298507462686,0.02,"13,14",13,14
37,8,4.0,5.0,0.11940298507462686,0.11940298507462686,0.11940298507462686,0.02,15,15,15
37,9,4.0,6.0,0.14925373134328357,0.14925373134328357,0.14925373134328357,0.02,16,16,16
37,10,5.0,6.0,0.16417910447761194,0.16417910447761194,0.16417910447761194,0.02,17,17,17
37,11,6.0,7.0,0.19402985074626866,0.19402985074626866,0.19402985074626866,0.02,18,18,18
37,12,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
38,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
38,2,1.0,1.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02,"4,5",4,5
38,3,2.0,2.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02,6,6,6
38,4,2.0,2.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.02,"7,8",7,8
38,5,2.0,3.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.02,9,9,9
38,6,3.0,3.0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.02,"10,11",10,11
38,7,3.0,4.0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.02,12,12,12
38,8,3.0,4.0,0.15714285714285714,0.15714285714285714,0.15714285714285714,0.02,13,13,13
38,9,4.0,5.0,0.15714285714285714,0.15714285714285714,0.15714285714285714,0.02,"14,15",14,15
38,10,5.0,6.0,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.02,16,16,16
38,11,6.0,7.0,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.02,17,17,17
38,12,6.0,8.0,0.2,0.2,0.2,0.02,18,18,18
38,13,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
39,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
39,2,1.0,1.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.02,"4,5",4,5
39,3,2.0,2.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.02,6,6,6
39,4,2.0,2.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.02,"7,8",7,8
39,5,2.0,3.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.02,9,9,9
39,6,3.0,3.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02,"10,11",10,11
39,7,3.0,4.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02,12,12,12
39,8,4.0,4.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.02,13,13,13
39,9,4.0,5.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.02,14,14,14
39,10,5.0,5.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.02,15,15,15
39,11,5.0,6.75,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.02,16,16,16
39,12,6.0,9.5,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.02,17,17,17
39,13,7.0,10.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.02,18,18,18
39,14,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
40,1,1.0,1.0,0.007407407407407407,0.0,0.018518518518518517,0.02,"1,2,3,4,5",1,5
40,2,1.5,2.0,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.02,6,6,6
40,3,2.0,2.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.02,"7,8",7,8
40,4,2.0,3.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.02,9,9,9
40,5,2.0,3.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.02,10,10,10
40,6,3.0,3.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.02,11,11,11
40,7,3.0,4.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.02,12,12,12
40,8,4.0,4.0,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.02,13,13,13
40,9,4.0,5.0,0.12962962962962962,0.12962962962962962,0.12962962962962962,0.02,"14,15",14,15
40,10,5.0,5.75,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.02,16,16,16
40,11,5.5,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.02,17,17,17
40,12,6.0,7.0,0.2037037037037037,0.2037037037037037,0.2037037037037037,0.02,18,18,18
40,13,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
41,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
41,2,1.0,1.0,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.02,"4,5",4,5
41,3,2.0,2.0,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.02,6,6,6
41,4,2.0,2.0,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.02,"7,8",7,8
41,5,2.0,3.0,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.02,9,9,9
41,6,2.0,3.0,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.02,10,10,10
41,7,3.0,3.0,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.02,11,11,11
41,8,3.0,4.0,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.02,12,12,12
41,9,4.0,4.0,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.02,13,13,13
41,10,4.0,5.0,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.02,14,14,14
41,11,5.0,5.0,0.15942028985507245,0.15942028985507245,0.15942028985507245,0.02,15,15,15
41,12,5.0,7.0,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.02,16,16,16
41,13,6.0,7.0,0.2318840579710145,0.2318840579710145,0.2318840579710145,0.02,17,17,17
41,14,6.0,10.0,0.2753623188405797,0.2753623188405797,0.2753623188405797,0.02,18,18,18
41,15,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
42,1,1.0,1.0,0.007547169811320755,0.0,0.018867924528301886,0.02,"1,2,3,4,5",1,5
42,2,2.0,2.0,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.02,6,6,6
42,3,2.0,2.0,0.05660377358490567,0.05660377358490566,0.05660377358490566,0.02,"7,8,9",7,9
42,4,2.0,3.0,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.02,10,10,10
42,5,3.0,3.0,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.02,"11,12",11,12
42,6,3.0,4.0,0.09433962264150944,0.09433962264150944,0.09433962264150944,0.02,"13,14",13,14
42,7,4.0,5.0,0.10377358490566038,0.09433962264150944,0.11320754716981132,0.02,"15,16",15,16
42,8,5.0,6.0,0.11320754716981132,0.11320754716981132,0.11320754716981132,0.02,17,17,17
42,9,6.0,7.0,0.1320754716981132,0.1320754716981132,0.1320754716981132,0.02,18,18,18
42,10,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
43,1,1.0,1.0,0.005405405405405406,0.0,0.013513513513513514,0.02,"1,2,3,4,5",1,5
43,2,2.0,2.0,0.02364864864864865,0.013513513513513514,0.02702702702702703,0.02,"6,7,8,9",6,9
43,3,2.0,3.0,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.02,10,10,10
43,4,3.0,3.0,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.02,"11,12",11,12
43,5,3.0,4.0,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.02,"13,14",13,14
43,6,4.0,5.0,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.02,15,15,15
43,7,4.0,5.0,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.02,16,16,16
43,8,4.0,6.0,0.12162162162162163,0.12162162162162163,0.12162162162162163,0.02,17,17,17
43,9,5.0,6.0,0.14864864864864866,0.14864864864864866,0.14864864864864866,0.02,18,18,18
43,10,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
44,1,1.0,1.0,0.005194805194805195,0.0,0.012987012987012988,0.02,"1,2,3,4,5",1,5
44,2,1.0,2.0,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.02,6,6,6
44,3,2.0,2.0,0.025974025974025972,0.025974025974025976,0.025974025974025976,0.02,"7,8,9",7,9
44,4,2.0,3.0,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.02,10,10,10
44,5,3.0,3.0,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.02,"11,12",11,12
44,6,3.0,4.0,0.06493506493506493,0.06493506493506493,0.06493506493506493,0.02,"13,14",13,14
44,7,4.0,4.0,0.06493506493506493,0.06493506493506493,0.06493506493506493,0.02,15,15,15
44,8,4.0,5.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.02,16,16,16
44,9,5.0,6.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.02,17,17,17
44,10,5.0,6.0,0.11688311688311688,0.11688311688311688,0.11688311688311688,0.02,18,18,18
44,11,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
45,1,1.0,1.0,0.005333333333333334,0.0,0.013333333333333334,0.02,"1,2,3,4,5",1,5
45,2,1.0,2.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.02,6,6,6
45,3,2.0,2.0,0.04,0.04,0.04,0.02,"7,8,9",7,9
45,4,2.0,3.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.02,10,10,10
45,5,3.0,3.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.02,"11,12",11,12
45,6,3.0,4.0,0.10666666666666667,0.10666666666666667,0.10666666666666667,0.02,13,13,13
45,7,4.0,4.0,0.10666666666666667,0.10666666666666667,0.10666666666666667,0.02,"14,15",14,15
45,8,4.0,5.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.02,16,16,16
45,9,5.0,6.0,0.14,0.13333333333333333,0.14666666666666667,0.02,"17,18",17,18
45,10,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
46,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
46,2,1.0,1.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02,4,4,4
46,3,1.0,1.75,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02,5,5,5
46,4,2.0,2.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02,6,6,6
46,5,2.0,2.0,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.02,"7,8",7,8
46,6,2.0,3.0,0.06756756756756757,0.06756756756756757,0.06756756756756757,0.02,9,9,9
46,7,3.0,3.0,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.02,"10,11",10,11
46,8,3.0,4.0,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.02,12,12,12
46,9,4.0,4.0,0.14864864864864866,0.14864864864864866,0.14864864864864866,0.02,13,13,13
46,10,4.0,5.0,0.14864864864864866,0.14864864864864866,0.14864864864864866,0.02,14,14,14
46,11,5.0,5.0,0.16216216216216217,0.16216216216216217,0.16216216216216217,0.02,15,15,15
46,12,5.0,6.75,0.21621621621621623,0.21621621621621623,0.21621621621621623,0.02,16,16,16
46,13,6.0,7.75,0.22972972972972974,0.22972972972972974,0.22972972972972974,0.02,17,17,17
46,14,7.0,10.0,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.02,18,18,18
46,15,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
47,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
47,2,1.0,1.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02,"4,5",4,5
47,3,2.0,2.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02,6,6,6
47,4,2.0,2.0,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.02,"7,8",7,8
47,5,2.0,2.5,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.02,9,9,9
47,6,2.0,3.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.02,10,10,10
47,7,3.0,3.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.02,"11,12",11,12
47,8,3.0,4.0,0.08,0.08,0.08,0.02,13,13,13
47,9,4.0,4.5,0.08,0.08,0.08,0.02,14,14,14
47,10,4.0,5.0,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.02,15,15,15
