model,group,actual_update_median,actual_update_q3,mean_fallback_fraction,minimum_fallback_fraction,maximum_fallback_fraction,fallback_tolerance,thresholds,minimum_threshold,maximum_threshold
98,3,2.0,2.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.02,6,6,6
98,4,2.0,2.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.02,"7,8",7,8
98,5,2.0,3.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.02,9,9,9
98,6,3.0,3.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.02,"10,11",10,11
98,7,3.0,3.75,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.02,12,12,12
98,8,3.5,4.0,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.02,13,13,13
98,9,4.0,5.0,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.02,14,14,14
98,10,4.0,5.0,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.02,15,15,15
98,11,5.0,6.0,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.02,16,16,16
98,12,6.0,9.25,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.02,17,17,17
98,13,7.0,10.0,0.3064516129032258,0.3064516129032258,0.3064516129032258,0.02,18,18,18
98,14,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
99,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
99,2,1.0,1.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02,4,4,4
99,3,1.0,2.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02,5,5,5
99,4,2.0,2.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02,6,6,6
99,5,2.0,2.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.02,"7,8",7,8
99,6,2.0,3.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.02,9,9,9
99,7,3.0,3.0,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.02,"10,11",10,11
99,8,3.0,4.0,0.09210526315789473,0.09210526315789473,0.09210526315789473,0.02,12,12,12
99,9,4.0,4.0,0.11842105263157894,0.11842105263157894,0.11842105263157894,0.02,13,13,13
99,10,4.0,5.0,0.11842105263157894,0.11842105263157894,0.11842105263157894,0.02,14,14,14
99,11,5.0,5.0,0.11842105263157894,0.11842105263157894,0.11842105263157894,0.02,15,15,15
99,12,5.0,6.0,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.02,16,16,16
99,13,6.0,7.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.02,17,17,17
99,14,6.0,8.0,0.19736842105263158,0.19736842105263158,0.19736842105263158,0.02,18,18,18
99,15,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
