k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.3837805299793722,1.999999802,1.3412909790737138,1.9999970276740335,0
20,1.141824064315215,1.99997695,1.0996199187672535,1.9993999999999998,0
30,0.9655549665421913,1.9999604672988316,0.9308849825226694,1.98,0
50,0.6714133893764049,1.9999604672988316,0.6572907009254004,1.98,0
75,0.13543083602683864,1.9468711403999999,0.12781628820662608,0.3223166598517402,0
100,0.08565753472960631,0.28143668280000006,0.08799852950365089,0.26098841659410893,0
150,0.05325919660493936,0.20394976992980796,0.05544890257573443,0.20394976992980796,0
200,0.040807938457634696,0.11277838000000001,0.0426920817208618,0.11277838000000001,0
300,0.029876391983515414,0.07515890820000003,0.032159968524986114,0.07515890820000003,0
400,0.021852248822294362,0.056454000000000004,0.024346941968192128,0.056454000000000004,0
500,0.01442434011162566,0.052131523438943665,0.01607104945962917,0.052131523438943665,1
750,0.000856285925953782,0.03829565558366,0.0009540411111421472,0.03829565558366,0
771,0.0,0.0,0.0,0.0,0
