k,representation_mean_l1,representation_max_l1,transition_mean_l1,transition_max_l1,selected
10,1.357455744485988,1.9999999942549267,1.3063344409648434,1.9999952279979063,0
20,0.99260006685616,1.9999995976452403,0.9281161549791496,1.9997261397688801,0
30,0.7238707721301343,1.999999901,0.6598192272418051,1.9998003544,0
50,0.4827257024005064,1.9996,0.4622768819237884,1.9802,0
75,0.10967606353631365,0.3808958402345,0.1099671193209032,0.32366892638643996,0
100,0.06669920181763435,0.19446958111049298,0.0673966520664771,0.19446958111049298,0
150,0.04390763961920335,0.1239827558367236,0.0454065029797689,0.1239827558367236,0
200,0.03398173486129183,0.1120062,0.036491139038730615,0.1120062,0
300,0.02213889156543979,0.057825999999999975,0.025169811244041666,0.057825999999999975,0
400,0.012289988448302995,0.056708808731389185,0.01397254639063019,0.056708808731389185,1
500,0.004876744100021531,0.03977386046180014,0.005544393589905431,0.03977386046180014,0
573,0.0,0.0,0.0,0.0,0
