age,occurrences,unique_beliefs,unique_urc_levels,mse_mean,mse_std,mse_min,mse_max,mse_range,modal_level_disagreement
0,70,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,70,15,2,0.07385714285714289,0.010041749583308553,0.04,0.08,0.04,0.3857142857142857
2,68,41,2,0.14895294117647062,0.015964772530096264,0.1098,0.16319999999999998,0.05339999999999999,0.5
3,65,51,2,0.22628776923076924,0.01936125267146431,0.180313,0.2496,0.06928699999999999,0.4461538461538461
4,62,59,2,0.30431794709677423,0.025318600940860837,0.23448177999999995,0.33919978,0.10471800000000006,0.5
5,59,59,3,0.3834485990220339,0.03185762008056469,0.30102732339999994,0.4319870933,0.13095976990000008,0.4915254237288136
6,57,57,3,0.4620884506601404,0.03703408626996533,0.37083660738299995,0.5271936379809999,0.156357030598,0.49122807017543857
7,55,55,3,0.5390494103264118,0.043231203887350494,0.4333277363097,0.6071015355155001,0.17377379920580005,0.49090909090909096
8,53,53,3,0.6130027455661542,0.050995105919094307,0.4989638805280541,0.6897473153434476,0.19078343481539345,0.49056603773584906
9,51,51,4,0.6834135086648734,0.05927277391568606,0.5778352102484342,0.7837163598800088,0.20588114963157456,0.5686274509803921
10,49,49,4,0.7531419770247849,0.06614884322088953,0.5911750567794778,0.8692410342251712,0.2780659774456934,0.4897959183673469
