xhat,yhat,raw_state,action,xhat_next,yhat_next,raw_state_next
0,0,0,east,1,0,1
0,0,4,east,1,0,11
0,0,15,east,1,0,23
0,0,31,east,1,0,42
0,0,34,east,1,0,46
0,0,50,east,1,0,62
0,0,77,east,1,0,94
0,0,108,east,1,0,127
0,1,0,south,0,0,4
0,1,4,south,0,0,15
0,1,15,south,0,0,31
0,1,18,south,0,0,34
0,1,31,south,0,0,50
0,1,54,south,0,0,77
0,1,81,south,0,0,108
0,2,0,south,0,1,4
0,2,4,south,0,1,15
0,2,8,south,0,1,18
0,2,15,south,0,1,31
0,2,34,south,0,1,54
0,2,57,south,0,1,81
0,3,0,south,0,2,4
0,3,4,south,0,2,15
0,3,18,south,0,2,34
0,3,37,south,0,2,57
0,4,0,south,0,3,4
0,4,8,south,0,3,18
0,4,21,south,0,3,37
1,0,0,east,2,0,5
1,0,1,east,2,0,9
1,0,7,east,2,0,19
1,0,11,east,2,0,24
1,0,23,east,2,0,43
1,0,42,east,2,0,65
1,0,46,east,2,0,70
1,0,62,east,2,0,86
1,0,94,east,2,0,121
1,0,127,east,2,0,156
1,1,0,south,1,0,7
1,2,0,west,0,2,8
1,4,0,west,0,4,8
1,4,7,west,0,4,21
1,5,0,south,1,4,7
2,0,0,east,3,0,5
2,0,5,east,3,0,16
2,0,7,east,3,0,19
2,0,9,east,3,0,25
2,0,19,east,3,0,35
2,0,24,east,3,0,44
2,0,43,east,3,0,63
2,0,65,east,3,0,87
2,0,70,east,3,0,95
2,0,86,east,3,0,115
2,0,121,east,3,0,151
2,0,156,east,3,0,188
2,1,0,south,2,0,7
3,0,0,east,4,0,5
3,0,5,east,4,0,16
3,0,7,east,4,0,19
3,0,16,east,4,0,32
3,0,19,east,4,0,35
3,0,25,east,4,0,45
3,0,35,east,4,0,55
3,0,44,east,4,0,66
3,0,63,east,4,0,88
3,0,87,east,4,0,116
3,0,95,east,4,0,122
3,0,115,east,4,0,146
3,0,151,east,4,0,183
3,0,188,east,4,0,221
3,1,0,south,3,0,7
3,2,0,north,3,3,7
3,3,0,east,4,3,8
3,3,7,east,4,3,21
3,3,20,east,4,3,40
3,4,0,south,3,3,7
3,4,7,south,3,3,20
3,5,0,south,3,4,7
4,0,0,east,5,0,5
4,0,5,east,5,0,16
