xhat,yhat,raw_state,action,xhat_next,yhat_next,raw_state_next
0,0,0,east,1,0,1
0,0,6,east,1,0,13
0,0,21,east,1,0,30
0,0,40,east,1,0,56
0,0,47,east,1,0,62
0,1,0,south,0,0,6
0,1,6,south,0,0,21
0,1,21,south,0,0,40
0,1,24,south,0,0,47
0,2,0,south,0,1,6
0,2,6,south,0,1,21
0,2,10,south,0,1,24
0,3,0,south,0,2,6
0,6,0,east,1,6,4
0,7,0,east,1,7,4
0,9,0,east,1,9,2
1,0,0,east,2,0,7
1,0,1,east,2,0,11
1,0,13,east,2,0,31
1,0,30,east,2,0,57
1,0,56,east,2,0,89
1,0,62,east,2,0,96
1,2,0,west,0,2,10
1,4,0,north,1,5,9
1,5,0,north,1,6,9
1,5,9,north,1,6,27
1,6,0,east,2,6,10
1,6,4,east,2,6,20
1,6,9,east,2,6,28
1,6,18,east,2,6,44
1,6,27,east,2,6,54
1,7,0,south,1,6,9
1,7,4,south,1,6,18
1,8,0,north,1,9,9
1,9,0,east,2,9,8
1,9,2,east,2,9,12
1,9,9,east,2,9,26
2,0,0,east,3,0,7
2,0,7,east,3,0,22
2,0,9,east,3,0,25
2,0,11,east,3,0,33
2,0,31,east,3,0,58
2,0,57,east,3,0,86
2,0,89,east,3,0,121
2,0,96,east,3,0,129
2,1,0,south,2,0,9
2,4,0,east,3,4,10
2,6,0,east,3,6,10
2,6,10,east,3,6,29
2,6,20,east,3,6,46
2,6,28,east,3,6,55
2,6,44,east,3,6,78
2,6,54,east,3,6,94
2,7,0,east,3,7,10
2,9,0,east,3,9,8
2,9,8,east,3,9,23
2,9,12,east,3,9,34
2,9,26,east,3,9,49
3,0,0,east,4,0,7
3,0,7,east,4,0,22
3,0,9,east,4,0,25
3,0,22,east,4,0,41
3,0,25,east,4,0,48
3,0,33,east,4,0,60
3,0,58,east,4,0,90
3,0,86,east,4,0,122
3,0,121,east,4,0,159
3,0,129,east,4,0,164
3,1,0,south,3,0,9
3,4,0,north,3,5,9
3,4,10,north,3,5,28
3,5,0,north,3,6,9
3,5,9,north,3,6,27
3,5,28,north,3,6,54
3,6,0,north,3,7,9
3,6,9,north,3,7,27
3,6,10,north,3,7,28
3,6,27,north,3,7,52
3,6,28,north,3,7,54
3,6,29,north,3,7,55
3,6,46,north,3,7,78
3,6,54,north,3,7,93
3,6,55,north,3,7,94
3,6,78,north,3,7,117
3,6,94,north,3,7,133
3,7,0,north,3,8,9
3,7,9,north,3,8,27
3,7,10,north,3,8,28
3,7,27,north,3,8,52
3,7,28,north,3,8,54
3,7,52,north,3,8,92
3,7,54,north,3,8,93
3,7,55,north,3,8,94
3,7,78,north,3,8,117
3,7,93,north,3,8,132
3,7,94,north,3,8,133
3,7,117,north,3,8,156
3,7,133,north,3,8,174
3,8,0,north,3,9,9
3,8,9,north,3,9,27
3,8,27,north,3,9,52
3,8,28,north,3,9,54
3,8,52,north,3,9,92
3,8,54,north,3,9,93
3,8,92,north,3,9,131
3,8,93,north,3,9,132
3,8,94,north,3,9,133
3,8,117,north,3,9,156
3,8,132,north,3,9,173
3,8,133,north,3,9,174
3,8,156,north,3,9,202
3,8,174,north,3,9,215
3,9,0,east,4,9,8
3,9,8,east,4,9,23
3,9,9,east,4,9,26
3,9,23,east,4,9,42
3,9,27,east,4,9,50
3,9,34,east,4,9,61
3,9,49,east,4,9,75
3,9,52,east,4,9,82
3,9,54,east,4,9,84
3,9,92,east,4,9,125
3,9,93,east,4,9,127
3,9,131,east,4,9,167
3,9,132,east,4,9,168
3,9,133,east,4,9,166
3,9,156,east,4,9,192
3,9,173,east,4,9,208
3,9,174,east,4,9,209
3,9,202,east,4,9,237
3,9,215,east,4,9,248
4,0,0,east,5,0,7
4,0,7,east,5,0,22
4,0,22,east,5,0,41
4,0,25,east,5,0,48
4,0,41,east,5,0,68
4,0,48,east,5,0,74
4,0,60,east,5,0,87
4,0,90,east,5,0,123
4,0,122,east,5,0,160
4,0,159,east,5,0,195
4,0,164,east,5,0,203
4,2,0,east,5,2,10
4,4,0,north,4,5,9
4,4,10,north,4,5,28
4,5,0,north,4,6,9
4,5,9,north,4,6,27
4,5,28,north,4,6,54
4,6,0,west,3,6,10
4,6,9,west,3,6,28
4,6,27,west,3,6,54
