xhat,yhat,raw_state,action,xhat_next,yhat_next,raw_state_next
0,0,0,east,1,0,2
0,0,7,east,1,0,15
0,1,0,south,0,0,7
0,3,0,east,1,3,5
0,6,0,north,0,7,6
0,7,0,east,1,7,5
0,7,6,east,1,7,16
0,7,7,east,1,7,17
0,7,13,east,1,7,28
0,8,0,south,0,7,7
0,8,1,south,0,7,13
0,9,0,south,0,8,1
1,0,0,east,2,0,8
1,0,2,east,2,0,14
1,0,10,east,2,0,27
1,0,15,east,2,0,33
1,1,0,south,1,0,10
1,3,0,east,2,3,11
1,3,5,east,2,3,22
1,4,0,east,2,4,11
1,7,0,east,2,7,11
1,7,5,east,2,7,22
1,7,10,east,2,7,30
1,7,16,east,2,7,37
1,7,17,east,2,7,38
1,7,28,east,2,7,51
1,8,0,south,1,7,10
2,0,0,east,3,0,8
2,0,8,east,3,0,24
2,0,10,east,3,0,27
2,0,14,east,3,0,34
2,0,27,east,3,0,47
2,0,29,east,3,0,49
2,0,33,east,3,0,56
2,1,0,south,2,0,10
2,1,10,south,2,0,29
2,2,0,south,2,1,10
2,3,0,north,2,4,10
2,3,11,north,2,4,30
2,3,22,north,2,4,45
2,4,0,east,3,4,11
2,4,10,east,3,4,30
2,4,11,east,3,4,31
2,4,30,east,3,4,55
2,4,45,east,3,4,72
2,6,0,east,3,6,11
2,7,0,east,3,7,11
2,7,11,east,3,7,31
2,7,22,east,3,7,46
2,7,30,east,3,7,55
2,7,37,east,3,7,65
2,7,38,east,3,7,66
2,7,51,east,3,7,78
2,9,0,east,3,9,9
3,0,0,east,4,0,8
3,0,8,east,4,0,24
3,0,10,east,4,0,27
3,0,24,east,4,0,41
3,0,27,east,4,0,47
3,0,34,east,4,0,57
3,0,47,east,4,0,68
3,0,49,east,4,0,73
3,0,56,east,4,0,77
3,1,0,south,3,0,10
3,4,0,north,3,5,10
3,4,11,north,3,5,30
3,4,30,north,3,5,54
3,4,31,north,3,5,55
3,4,55,north,3,5,81
3,4,72,north,3,5,101
3,5,0,north,3,6,10
3,5,10,north,3,6,29
3,5,30,north,3,6,54
3,5,54,north,3,6,80
3,5,55,north,3,6,81
3,5,81,north,3,6,109
3,5,101,north,3,6,128
3,6,0,east,4,6,11
3,6,10,east,4,6,30
3,6,11,east,4,6,31
3,6,29,east,4,6,54
3,6,30,east,4,6,55
3,6,54,east,4,6,81
3,6,55,east,4,6,82
3,6,72,east,4,6,102
3,6,80,east,4,6,109
3,6,81,east,4,6,110
3,6,92,east,4,6,122
3,6,93,east,4,6,123
3,6,107,east,4,6,135
3,6,109,east,4,6,136
3,6,128,east,4,6,157
3,7,0,south,3,6,10
3,7,11,south,3,6,30
3,7,31,south,3,6,55
3,7,46,south,3,6,72
3,7,55,south,3,6,81
3,7,65,south,3,6,92
3,7,66,south,3,6,93
3,7,78,south,3,6,107
3,9,0,east,4,9,9
3,9,9,east,4,9,25
4,0,0,east,5,0,8
4,0,8,east,5,0,24
4,0,24,east,5,0,41
4,0,27,east,5,0,47
4,0,41,east,5,0,62
4,0,47,east,5,0,68
4,0,57,east,5,0,76
4,0,68,east,5,0,90
4,0,73,east,5,0,98
4,0,77,east,5,0,103
4,2,0,east,5,2,11
4,3,0,east,5,3,11
4,5,0,north,4,6,10
4,6,0,east,5,6,11
4,6,10,east,5,6,30
4,6,11,east,5,6,31
4,6,29,east,5,6,54
4,6,30,east,5,6,55
4,6,31,east,5,6,53
4,6,42,east,5,6,69
4,6,54,east,5,6,81
4,6,55,east,5,6,82
4,6,63,east,5,6,94
4,6,64,east,5,6,95
4,6,81,east,5,6,110
4,6,82,east,5,6,111
4,6,87,east,5,6,117
4,6,88,east,5,6,118
4,6,102,east,5,6,131
4,6,109,east,5,6,136
4,6,110,east,5,6,139
4,6,122,east,5,6,151
4,6,123,east,5,6,152
4,6,135,east,5,6,164
4,6,136,east,5,6,167
4,6,157,east,5,6,191
4,7,0,south,4,6,10
4,7,10,south,4,6,29
4,7,20,south,4,6,42
4,7,39,south,4,6,63
4,7,40,south,4,6,64
4,7,60,south,4,6,87
4,7,61,south,4,6,88
4,8,0,south,4,7,10
4,8,4,south,4,7,20
4,8,18,south,4,7,39
4,8,19,south,4,7,40
4,8,35,south,4,7,60
4,8,36,south,4,7,61
4,9,0,south,4,8,4
4,9,8,south,4,8,18
4,9,9,south,4,8,19
4,9,24,south,4,8,35
4,9,25,south,4,8,36
5,0,0,north,5,1,4
5,0,8,north,5,1,18
5,0,24,north,5,1,35
5,0,41,north,5,1,59
5,0,47,north,5,1,60
5,0,62,north,5,1,84
5,0,68,north,5,1,86
5,0,76,north,5,1,97
5,0,90,north,5,1,113
5,0,98,north,5,1,115
5,0,103,north,5,1,120
5,1,0,north,5,2,10
5,1,4,north,5,2,20
5,1,18,north,5,2,39
5,1,35,north,5,2,60
5,1,59,north,5,2,86
5,1,60,north,5,2,87
5,1,84,north,5,2,113
5,1,86,north,5,2,115
5,1,97,north,5,2,126
5,1,113,north,5,2,141
5,1,115,north,5,2,143
5,1,120,north,5,2,148
5,2,0,north,5,3,10
5,2,10,north,5,3,29
5,2,11,north,5,3,30
5,2,20,north,5,3,42
5,2,39,north,5,3,63
5,2,60,north,5,3,87
5,2,86,north,5,3,115
5,2,87,north,5,3,116
5,2,113,north,5,3,141
5,2,115,north,5,3,143
5,2,126,north,5,3,155
5,2,141,north,5,3,170
5,2,143,north,5,3,173
5,2,148,north,5,3,179
5,3,0,east,6,3,11
5,3,10,east,6,3,30
5,3,11,east,6,3,31
5,3,29,east,6,3,54
5,3,30,east,6,3,55
5,3,42,east,6,3,69
5,3,63,east,6,3,94
5,3,87,east,6,3,117
5,3,115,east,6,3,144
5,3,116,east,6,3,145
5,3,141,east,6,3,171
5,3,143,east,6,3,174
5,3,155,east,6,3,186
5,3,170,east,6,3,202
5,3,173,east,6,3,204
5,3,179,east,6,3,209
5,4,0,east,6,4,11
5,6,0,east,6,6,11
5,6,10,east,6,6,30
5,6,11,east,6,6,31
5,6,29,east,6,6,54
5,6,30,east,6,6,55
5,6,31,east,6,6,53
5,6,53,east,6,6,83
5,6,54,east,6,6,81
5,6,55,east,6,6,82
5,6,69,east,6,6,100
5,6,81,east,6,6,110
5,6,82,east,6,6,111
5,6,94,east,6,6,124
5,6,95,east,6,6,125
5,6,110,east,6,6,139
5,6,111,east,6,6,140
5,6,117,east,6,6,146
5,6,118,east,6,6,147
5,6,131,east,6,6,161
5,6,136,east,6,6,167
5,6,139,east,6,6,168
5,6,151,east,6,6,184
5,6,152,east,6,6,185
5,6,164,east,6,6,196
5,6,167,east,6,6,200
5,6,191,east,6,6,221
5,7,0,south,5,6,10
5,7,10,south,5,6,29
5,8,0,south,5,7,10
5,9,0,west,4,9,8
5,9,8,west,4,9,24
6,0,0,east,7,0,8
6,2,0,north,6,3,10
6,2,11,north,6,3,30
6,2,30,north,6,3,54
6,2,31,north,6,3,55
6,2,46,north,6,3,72
6,2,55,north,6,3,81
6,2,71,north,6,3,100
6,2,72,north,6,3,101
6,2,85,north,6,3,114
6,2,96,north,6,3,124
6,2,119,north,6,3,146
6,3,0,north,6,4,10
6,3,10,north,6,4,29
6,3,11,north,6,4,30
6,3,30,north,6,4,54
6,3,31,north,6,4,55
6,3,54,north,6,4,80
6,3,55,north,6,4,81
6,3,69,north,6,4,99
6,3,72,north,6,4,101
6,3,81,north,6,4,109
6,3,94,north,6,4,121
6,3,100,north,6,4,127
6,3,101,north,6,4,128
6,3,114,north,6,4,142
6,3,117,north,6,4,145
6,3,124,north,6,4,149
6,3,144,north,6,4,174
6,3,145,north,6,4,175
6,3,146,north,6,4,176
6,3,171,north,6,4,202
6,3,174,north,6,4,204
6,3,186,north,6,4,215
6,3,202,north,6,4,232
6,3,204,north,6,4,234
6,4,0,north,6,5,10
6,4,10,north,6,5,29
6,4,11,north,6,5,30
6,4,29,north,6,5,52
6,4,30,north,6,5,54
6,4,54,north,6,5,80
6,4,55,north,6,5,81
6,4,80,north,6,5,108
6,4,81,north,6,5,109
6,4,99,north,6,5,130
6,4,101,north,6,5,128
6,4,109,north,6,5,138
6,4,121,north,6,5,150
6,4,127,north,6,5,159
6,4,128,north,6,5,160
6,4,142,north,6,5,172
6,4,145,north,6,5,175
6,4,149,north,6,5,181
6,4,174,north,6,5,204
6,4,175,north,6,5,205
6,4,176,north,6,5,206
6,4,202,north,6,5,232
6,4,204,north,6,5,234
6,5,0,north,6,6,10
6,5,10,north,6,6,29
6,5,29,north,6,6,52
6,5,30,north,6,6,54
6,5,52,north,6,6,79
6,5,54,north,6,6,80
6,5,80,north,6,6,108
6,5,81,north,6,6,109
6,5,108,north,6,6,137
6,5,109,north,6,6,138
6,5,128,north,6,6,160
6,5,130,north,6,6,158
6,5,138,north,6,6,165
6,5,150,north,6,6,180
6,5,159,north,6,6,187
6,5,160,north,6,6,188
6,5,172,north,6,6,203
6,5,175,north,6,6,205
6,5,181,north,6,6,212
6,5,204,north,6,6,234
6,5,205,north,6,6,235
6,5,206,north,6,6,238
6,6,0,east,7,6,11
6,6,10,east,7,6,30
6,6,11,east,7,6,31
6,6,29,east,7,6,54
6,6,30,east,7,6,55
6,6,31,east,7,6,53
6,6,52,east,7,6,80
6,6,53,east,7,6,83
6,6,54,east,7,6,81
6,6,55,east,7,6,82
6,6,79,east,7,6,108
6,6,80,east,7,6,109
6,6,81,east,7,6,110
6,6,82,east,7,6,111
6,6,83,east,7,6,112
6,6,100,east,7,6,129
6,6,108,east,7,6,138
6,6,109,east,7,6,136
6,6,110,east,7,6,139
6,6,111,east,7,6,140
6,6,124,east,7,6,153
6,6,125,east,7,6,154
6,6,137,east,7,6,165
6,6,138,east,7,6,166
6,6,139,east,7,6,168
