xhat,yhat,raw_state,action,xhat_next,yhat_next,raw_state_next
0,0,0,east,1,0,2
0,0,6,east,1,0,14
0,0,22,east,1,0,33
0,0,41,east,1,0,58
0,0,67,east,1,0,86
0,0,71,east,1,0,100
0,0,105,east,1,0,130
0,1,0,south,0,0,6
0,1,6,south,0,0,22
0,1,22,south,0,0,41
0,1,41,south,0,0,67
0,1,47,south,0,0,71
0,1,71,south,0,0,105
0,2,0,south,0,1,6
0,2,6,south,0,1,22
0,2,22,south,0,1,41
0,2,25,south,0,1,47
0,2,47,south,0,1,71
0,3,0,south,0,2,6
0,3,6,south,0,2,22
0,3,10,south,0,2,25
0,3,25,south,0,2,47
0,4,0,south,0,3,6
0,4,10,south,0,3,25
0,6,0,east,1,6,5
0,7,0,east,1,7,5
0,7,6,east,1,7,16
0,7,12,east,1,7,28
0,7,34,east,1,7,49
0,7,61,east,1,7,78
0,7,91,east,1,7,109
0,7,123,east,1,7,146
0,8,0,south,0,7,6
0,8,1,south,0,7,12
0,8,15,south,0,7,34
0,8,36,south,0,7,61
0,8,59,south,0,7,91
0,8,88,south,0,7,123
0,9,0,south,0,8,1
0,9,7,south,0,8,15
0,9,23,south,0,8,36
0,9,42,south,0,8,59
0,9,68,south,0,8,88
1,0,0,east,2,0,7
1,0,2,east,2,0,13
1,0,9,east,2,0,26
1,0,14,east,2,0,35
1,0,33,east,2,0,60
1,0,58,east,2,0,90
1,0,86,east,2,0,120
1,0,100,east,2,0,131
1,0,130,east,2,0,165
1,1,0,south,1,0,9
1,3,0,west,0,3,10
1,4,0,west,0,4,10
1,5,0,east,2,5,10
1,6,0,east,2,6,10
1,6,5,east,2,6,21
1,6,9,east,2,6,30
1,6,19,east,2,6,46
1,6,29,east,2,6,56
1,6,39,east,2,6,69
1,6,53,east,2,6,93
1,6,56,east,2,6,96
1,6,82,east,2,6,126
1,6,96,east,2,6,137
1,6,116,east,2,6,161
1,6,150,east,2,6,195
1,6,186,east,2,6,229
1,7,0,south,1,6,9
1,7,5,south,1,6,19
1,7,9,south,1,6,29
1,7,16,south,1,6,39
1,7,28,south,1,6,53
1,7,30,south,1,6,56
1,7,49,south,1,6,82
1,7,57,south,1,6,96
1,7,78,south,1,6,116
1,7,109,south,1,6,150
1,7,146,south,1,6,186
1,8,0,south,1,7,9
1,8,10,south,1,7,30
1,8,31,south,1,7,57
1,9,0,west,0,9,7
1,9,7,west,0,9,23
1,9,23,west,0,9,42
1,9,42,west,0,9,68
2,0,0,east,3,0,7
2,0,7,east,3,0,23
2,0,13,east,3,0,37
2,0,26,east,3,0,48
2,0,35,east,3,0,62
2,0,60,east,3,0,87
2,0,90,east,3,0,121
2,0,120,east,3,0,156
2,0,131,east,3,0,166
2,0,165,east,3,0,199
2,5,0,east,3,5,10
2,5,9,east,3,5,30
2,5,10,east,3,5,31
2,5,29,east,3,5,56
2,5,30,east,3,5,57
2,5,46,east,3,5,77
2,5,56,east,3,5,96
